RECTYPE,LEA,ESTAB,URN,ICLOSE,SCHNAME,NFTYPE,COHORT,OVERALL_DEST,APPREN,EMPLOYMENT,EDUCATION,FE,SCH_6TH,SIXTH_COL,OTHER_EDU,NOT_SUSTAINED,UNKNOWN,OVERALL_DESTPER,APPRENPER,EMPLOYMENTPER,EDUCATIONPER,FEPER,SCH_6THPER,SIXTH_COLPER,OTHER_EDUPER,NOT_SUSTAINEDPER,UNKNOWNPER,COHORT_DIS,OVERALL_DEST_DIS,APPREN_DIS,EMPLOYMENT_DIS,EDUCATION_DIS,FE_DIS,SCH_6TH_DIS,SIXTH_COL_DIS,OTHER_EDU_DIS,NOT_SUSTAINED_DIS,UNKNOWN_DIS,OVERALL_DESTPER_DIS,APPRENPER_DIS,EMPLOYMENTPER_DIS,EDUCATIONPER_DIS,FEPER_DIS,SCH_6THPER_DIS,SIXTH_COLPER_DIS,OTHER_EDUPER_DIS,NOT_SUSTAINEDPER_DIS,UNKNOWNPER_DIS,COHORT_NONDIS,OVERALL_DEST_NONDIS,APPREN_NONDIS,EMPLOYMENT_NONDIS,EDUCATION_NONDIS,FE_NONDIS,SCH_6TH_NONDIS,SIXTH_COL_NONDIS,OTHER_EDU_NONDIS,NOT_SUSTAINED_NONDIS,UNKNOWN_NONDIS,OVERALL_DESTPER_NONDIS,APPRENPER_NONDIS,EMPLOYMENTPER_NONDIS,EDUCATIONPER_NONDIS,FEPER_NONDIS,SCH_6THPER_NONDIS,SIXTH_COLPER_NONDIS,OTHER_EDUPER_NONDIS,NOT_SUSTAINEDPER_NONDIS,UNKNOWNPER_NONDIS,COHORT_22,OVERALL_DESTPER_22,COHORT_DIS_22,OVERALL_DESTPER_DIS_22,COHORT_NONDIS_22,OVERALL_DESTPER_NONDIS_22,COHORT_21,OVERALL_DESTPER_21,COHORT_DIS_21,OVERALL_DESTPER_DIS_21,COHORT_NONDIS_21,OVERALL_DESTPER_NONDIS_21
1,865,4610,126473,0,St Joseph's Catholic School,VA,112,104,3,6,95,55,29,9,2,4,4,93%,3%,5%,85%,49%,26%,8%,2%,4%,4%,22,19,1,2,16,13,3,0,0,2,1,86%,5%,9%,73%,59%,14%,0%,0%,9%,5%,90,85,2,4,79,42,26,9,2,2,3,94%,2%,4%,88%,47%,29%,10%,2%,2%,3%,87,91%,17,88%,70,91%,125,94%,24,88%,101,95%
1,865,5400,137375,0,St Augustine's Catholic College,ACC,155,148,4,2,142,51,91,0,0,5,2,95%,3%,1%,92%,33%,59%,0%,0%,3%,1%,13,12,0,0,12,11,1,0,0,SUPP,SUPP,92%,0%,0%,92%,85%,8%,0%,0%,SUPP,SUPP,142,136,4,2,130,40,90,0,0,SUPP,SUPP,96%,3%,1%,92%,28%,63%,0%,0%,SUPP,SUPP,157,96%,17,94%,140,96%,152,98%,20,90%,132,99%
1,865,5403,136849,1,Pewsey Vale School,ACC,67,58,0,7,51,43,7,1,0,6,3,87%,0%,10%,76%,64%,10%,1%,0%,9%,4%,11,7,0,1,6,SUPP,0,SUPP,0,SUPP,SUPP,64%,0%,9%,55%,SUPP,0%,SUPP,0%,SUPP,SUPP,56,51,0,6,45,SUPP,7,SUPP,0,SUPP,SUPP,91%,0%,11%,80%,SUPP,13%,SUPP,0%,SUPP,SUPP,73,93%,17,SUPP,56,SUPP,48,81%,17,59%,31,94%
1,865,5405,138623,0,St John's Marlborough,ACC,261,246,6,5,235,71,163,0,1,10,5,94%,2%,2%,90%,27%,62%,0%,SP,4%,2%,36,32,2,2,28,SUPP,14,0,SUPP,3,1,89%,6%,6%,78%,SUPP,39%,0%,SUPP,8%,3%,225,214,4,3,207,SUPP,149,0,SUPP,7,4,95%,2%,1%,92%,SUPP,66%,0%,SUPP,3%,2%,260,93%,30,83%,230,95%,264,94%,33,85%,231,95%
1,865,5406,137650,0,Kingsbury Green Academy,ACC,139,125,3,2,120,60,59,1,0,8,6,90%,2%,1%,86%,43%,42%,1%,0%,6%,4%,32,25,SUPP,SUPP,23,18,SUPP,SUPP,0,4,3,78%,SUPP,SUPP,72%,56%,SUPP,SUPP,0%,13%,9%,107,100,SUPP,SUPP,97,42,SUPP,SUPP,0,4,3,93%,SUPP,SUPP,91%,39%,SUPP,SUPP,0%,4%,3%,129,89%,32,78%,97,93%,138,88%,27,81%,111,90%
1,865,5414,136296,0,Hardenhuish School,ACC,246,234,7,10,217,75,142,0,0,7,5,95%,3%,4%,88%,30%,58%,0%,0%,3%,2%,27,25,0,1,24,15,9,0,0,2,0,93%,0%,4%,89%,56%,33%,0%,0%,7%,0%,219,209,7,9,193,60,133,0,0,5,5,95%,3%,4%,88%,27%,61%,0%,0%,2%,2%,246,97%,24,88%,222,98%,247,98%,28,96%,219,98%
1,865,6905,135804,0,The Wellington Academy,AC,173,157,7,8,142,85,53,3,1,14,2,91%,4%,5%,82%,49%,31%,2%,1%,8%,1%,31,25,1,1,23,14,8,SUPP,SUPP,SUPP,SUPP,81%,3%,3%,74%,45%,26%,SUPP,SUPP,SUPP,SUPP,142,132,6,7,119,71,45,SUPP,SUPP,SUPP,SUPP,93%,4%,5%,84%,50%,32%,SUPP,SUPP,SUPP,SUPP,151,91%,28,93%,123,91%,155,88%,27,78%,128,91%
2,865,7000,145198,0,The Springfields Academy,ACS,25,20,0,2,18,16,0,0,2,1,4,80%,0%,8%,72%,64%,0%,0%,8%,4%,16%,12,10,0,0,10,SUPP,0,0,SUPP,SUPP,SUPP,83%,0%,0%,83%,SUPP,0%,0%,SUPP,SUPP,SUPP,13,10,0,2,8,SUPP,0,0,SUPP,SUPP,SUPP,77%,0%,15%,62%,SUPP,0%,0%,SUPP,SUPP,SUPP,12,92%,4,SUPP,8,SUPP,22,95%,8,SUPP,14,SUPP
1,865,4001,144388,0,Wyvern St Edmund's,ACC,262,241,6,7,228,103,98,26,1,15,6,92%,2%,3%,87%,39%,37%,10%,SP,6%,2%,34,27,0,3,24,16,7,SUPP,SUPP,5,2,79%,0%,9%,71%,47%,21%,SUPP,SUPP,15%,6%,228,214,6,4,204,87,91,SUPP,SUPP,10,4,94%,3%,2%,89%,38%,40%,SUPP,SUPP,4%,2%,79,91%,21,76%,58,97%,60,95%,12,SUPP,48,SUPP
1,865,4070,126458,0,The Stonehenge School,CY,161,148,8,9,131,88,39,4,0,6,7,92%,5%,6%,81%,55%,24%,2%,0%,4%,4%,24,21,1,0,20,13,5,2,0,1,2,88%,4%,0%,83%,54%,21%,8%,0%,4%,8%,137,127,7,9,111,75,34,2,0,5,5,93%,5%,7%,81%,55%,25%,1%,0%,4%,4%,166,91%,35,89%,131,92%,176,93%,21,90%,155,94%
2,865,7007,126550,0,Downland School,CYS,18,14,0,2,12,9,0,0,3,1,3,78%,0%,11%,67%,50%,0%,0%,17%,6%,17%,15,SUPP,0,0,SUPP,SUPP,0,0,SUPP,SUPP,SUPP,SUPP,0%,0%,SUPP,SUPP,0%,0%,SUPP,SUPP,SUPP,3,SUPP,0,SUPP,SUPP,SUPP,0,0,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,0%,0%,SUPP,SUPP,SUPP,9,67%,6,67%,3,SUPP,12,75%,9,78%,3,SUPP
2,865,7003,148145,0,Silverwood School,CYS,38,35,0,0,35,11,0,0,24,1,2,92%,0%,0%,92%,29%,0%,0%,63%,3%,5%,18,17,0,0,17,6,0,0,11,SUPP,SUPP,94%,0%,0%,94%,33%,0%,0%,61%,SUPP,SUPP,20,18,0,0,18,5,0,0,13,SUPP,SUPP,90%,0%,0%,90%,25%,0%,0%,65%,SUPP,SUPP,37,92%,18,89%,19,95%,47,96%,27,SUPP,20,SUPP
1,865,4071,143005,0,Avon Valley Academy,ACC,66,57,1,6,50,46,4,0,0,8,1,86%,2%,9%,76%,70%,6%,0%,0%,12%,2%,10,6,SUPP,SUPP,5,4,1,0,0,SUPP,SUPP,60%,SUPP,SUPP,50%,40%,10%,0%,0%,SUPP,SUPP,56,51,SUPP,SUPP,45,42,3,0,0,SUPP,SUPP,91%,SUPP,SUPP,80%,75%,5%,0%,0%,SUPP,SUPP,69,93%,11,82%,58,95%,81,85%,18,78%,63,87%
1,865,4075,138020,0,The John of Gaunt School,ACC,204,190,8,4,178,130,46,0,2,4,10,93%,4%,2%,87%,64%,23%,0%,1%,2%,5%,42,40,1,2,37,33,SUPP,0,SUPP,1,1,95%,2%,5%,88%,79%,SUPP,0%,SUPP,2%,2%,162,150,7,2,141,97,SUPP,0,SUPP,3,9,93%,4%,1%,87%,60%,SUPP,0%,SUPP,2%,6%,170,95%,41,88%,129,97%,169,88%,39,64%,130,95%
1,865,4000,131969,0,Abbeyfield School,CY,163,155,6,3,146,57,89,0,0,7,1,95%,4%,2%,90%,35%,55%,0%,0%,4%,1%,32,27,1,0,26,17,9,0,0,SUPP,SUPP,84%,3%,0%,81%,53%,28%,0%,0%,SUPP,SUPP,131,128,5,3,120,40,80,0,0,SUPP,SUPP,98%,4%,2%,92%,31%,61%,0%,0%,SUPP,SUPP,147,93%,38,79%,109,98%,175,90%,41,80%,134,93%
1,865,4002,138885,0,The Clarendon Academy,AC,154,145,4,6,135,67,66,0,2,8,1,94%,3%,4%,88%,44%,43%,0%,1%,5%,1%,40,34,0,4,30,19,SUPP,0,SUPP,SUPP,SUPP,85%,0%,10%,75%,48%,SUPP,0%,SUPP,SUPP,SUPP,114,111,4,2,105,48,SUPP,0,SUPP,SUPP,SUPP,97%,4%,2%,92%,42%,SUPP,0%,SUPP,SUPP,SUPP,156,92%,55,89%,101,93%,162,92%,41,80%,121,96%
