RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,TLEV_COHORT,TLEV_PROGRESSED,OTHER_COHORT,OTHER_PROGRESSED,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_HTECH
1,865,5415,126510,Matravers School,FD,0,0,58,52%,0%,52%,14%,0%,58,52%,0,0%,0,0%,50%,0%,50%,8%,0%
1,865,4000,131969,Abbeyfield School,CY,0,0,65,62%,0%,57%,18%,5%,65,62%,0,0%,0,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,865,8001,132779,Wiltshire College and University Centre,General Further Education College,0,0,540,29%,2%,21%,1%,6%,158,35%,136,14%,246,33%,26%,2%,19%,0%,5%
1,865,6905,135804,The Wellington Academy,AC,0,0,55,64%,2%,62%,16%,0%,55,64%,0,0%,0,0%,67%,SUPP,SUPP,SUPP,0%
1,865,6906,136183,Sarum Academy,AC,0,0,46,33%,0%,33%,2%,0%,45,33%,0,0%,1,SUPP,SUPP,0%,SUPP,SUPP,0%
1,865,5414,136296,Hardenhuish School,ACC,0,0,154,75%,3%,71%,33%,1%,154,75%,0,0%,0,0%,63%,0%,SUPP,SUPP,SUPP
1,865,5412,136391,South Wilts Grammar School,ACC,0,0,171,82%,3%,78%,40%,1%,171,82%,0,0%,0,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,865,5413,136500,Bishop Wordsworth's Church of England Grammar School,ACC,0,0,164,89%,4%,85%,60%,0%,164,89%,0,0%,0,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,865,4066,136611,The Corsham School,ACC,0,0,86,69%,3%,65%,19%,0%,76,74%,10,30%,0,0%,45%,0%,45%,27%,0%
1,865,5404,136632,Sheldon School,ACC,0,0,169,73%,4%,68%,24%,1%,169,73%,0,0%,0,0%,44%,0%,SUPP,SUPP,SUPP
1,865,4067,136911,Royal Wootton Bassett Academy,ACC,0,0,166,68%,5%,61%,22%,1%,166,68%,0,0%,0,0%,57%,0%,57%,14%,0%
1,865,4537,137057,St Laurence School,ACC,0,0,138,86%,0%,86%,32%,0%,138,86%,0,0%,0,0%,67%,0%,67%,17%,0%
1,865,4072,137230,Kingdown School,ACC,0,0,127,51%,2%,49%,18%,1%,110,55%,17,29%,0,0%,86%,SUPP,71%,0%,SUPP
1,865,4064,137308,Malmesbury School,ACC,0,0,116,84%,3%,81%,47%,0%,116,84%,0,0%,0,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,865,5400,137375,St Augustine's Catholic College,ACC,0,0,92,85%,2%,83%,37%,0%,92,85%,0,0%,0,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,865,5406,137650,Kingsbury Green Academy,ACC,0,0,37,68%,3%,65%,27%,0%,37,68%,0,0%,0,0%,50%,SUPP,SUPP,SUPP,0%
1,865,4075,138020,The John of Gaunt School,ACC,0,0,59,69%,2%,68%,14%,0%,59,69%,0,0%,0,0%,88%,SUPP,SUPP,SUPP,0%
1,865,5405,138623,St John's Marlborough,ACC,0,0,199,75%,1%,71%,31%,3%,190,77%,8,50%,1,SUPP,75%,0%,75%,31%,0%
1,865,5411,138630,Devizes School,ACC,0,0,107,70%,2%,67%,21%,1%,103,69%,4,SUPP,0,0%,69%,0%,SUPP,SUPP,SUPP
1,865,4002,138885,The Clarendon Academy,AC,0,0,54,57%,0%,57%,6%,0%,42,50%,12,83%,0,0%,60%,0%,60%,0%,0%
1,865,4004,140621,Salisbury Sixth Form College,F1619,0,0,135,59%,3%,54%,13%,2%,121,64%,11,27%,3,SUPP,69%,6%,56%,13%,6%
1,865,4008,146344,Melksham Oak Community School,ACC,0,0,60,65%,2%,63%,18%,0%,59,66%,1,SUPP,0,0%,SUPP,SUPP,SUPP,SUPP,SUPP
LA,865,,,,,,,2798,63%,2%,59%,23%,2%,2348,70%,199,24%,251,32%,65%,2%,61%,24%,2%
NAT,,,,,,,,393413,65%,2%,60%,19%,3%,311896,72%,27553,39%,53964,36%,67%,3%,62%,21%,2%
