ï»¿URN,LANAME,LA,ESTAB,LAESTAB,SCHNAME,STREET,LOCALITY,ADDRESS3,TOWN,POSTCODE,SCHSTATUS,OPENDATE,CLOSEDATE,MINORGROUP,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,RELCHAR,ADMPOL,School Level
126178,Wiltshire,865,2009,8652009,Bratton Primary School,Carpenter's Lane,Bratton,Carpenters Lane,Westbury,BA13 4RL,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable,Primary
126182,Wiltshire,865,2023,8652023,St Paul's Primary School,The Oaks,,,Chippenham,SN15 1DU,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable,Primary
126188,Wiltshire,865,2034,8652034,Monkton Park Primary School,Sadlers Mead,,,Chippenham,SN15 3PN,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable,Primary
126198,Wiltshire,865,2052,8652052,Hilmarton Primary School,Compton Road,Hilmarton,,Calne,SN11 8SG,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable,Primary
126199,Wiltshire,865,2053,8652053,Horningsham Primary School,Church Street,Horningsham,,WARMINSTER,BA12 7LW,Open,,,Maintained school,Community school,1,0,0,5,11,Mixed,Does not apply,Not applicable,Primary
126200,Wiltshire,865,2060,8652060,Luckington Community School,Luckington,,The Green,Chippenham,SN14 6NU,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable,Primary
126204,Wiltshire,865,2086,8652086,Stanton St Quintin Primary and Nursery School,Stanton St Quintin,,,Nr. Chippenham,SN14 6DQ,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable,Primary
126205,Wiltshire,865,2087,8652087,Ramsbury Primary School,Back Lane,Ramsbury,,Marlborough,SN8 2QH,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable,Primary
126206,Wiltshire,865,2091,8652091,Harnham Infants' School,Saxon Road,,,Salisbury,SP2 8JZ,Open,,,Maintained school,Community school,1,0,0,4,7,Mixed,Does not apply,Not applicable,Primary
126233,Wiltshire,865,2136,8652136,Westbury Infant School,Eden Vale Road,,,Westbury,BA13 3NY,Open,,,Maintained school,Community school,1,0,0,4,7,Mixed,Does not apply,Not applicable,Primary
126235,Wiltshire,865,2140,8652140,Wootton Bassett Infants' School,High Street,Royal Wootton Bassett,,Swindon,SN4 7BS,Open,,,Maintained school,Community school,1,0,0,4,7,Mixed,Does not apply,Not applicable,Primary
126248,Wiltshire,865,2159,8652159,Kiwi Primary School,Hubert Hamilton Road,Bulford Camp,Bulford,Salisbury,SP4 9JY,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable,Primary
126254,Wiltshire,865,2168,8652168,Priestley Primary School,Prince Charles Drive,,,Calne,SN11 8TG,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable,Primary
126260,Wiltshire,865,2180,8652180,Redland Primary School,Brook Street,,,Chippenham,SN14 0JE,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable,Primary
126262,Wiltshire,865,2184,8652184,Longleaze Primary School,Byron Avenue,Royal Wootton Bassett,,Swindon,SN4 8BA,Open,,,Maintained school,Foundation school,1,0,0,4,11,Mixed,Does not apply,Not applicable,Primary
126263,Wiltshire,865,2185,8652185,Mere School,Springfield Road,Mere,,Warminster,BA12 6EW,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable,Primary
126264,Wiltshire,865,2190,8652190,Woodlands Primary School,Winding Way,,,Salisbury,SP2 9DY,Open,,,Maintained school,Community school,1,0,0,2,11,Mixed,Does not apply,Not applicable,Primary
126265,Wiltshire,865,2191,8652191,"Salisbury, Manor Fields Primary School",Wilton Road,,,Salisbury,SP2 7EJ,Open,,,Maintained school,Community school,1,0,0,5,11,Mixed,Does not apply,Not applicable,Primary
126269,Wiltshire,865,2196,8652196,Holbrook Primary School,Holbrook Lane,,,Trowbridge,BA14 0PS,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable,Primary
126289,Wiltshire,865,2222,8652222,Walwayne Court School,Brook Road,,,Trowbridge,BA14 9DU,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable,Primary
126291,Wiltshire,865,2225,8652225,Bitham Brook Primary School,Arundell Close,,,Westbury,BA13 3UA,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Non-selective,Primary
126293,Wiltshire,865,2227,8652227,Newtown Community Primary School,Newtown,,,Trowbridge,BA14 0BB,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable,Primary
126297,Wiltshire,865,3002,8653002,Ashton Keynes Church of England Primary School,Gosditch,Ashton Keynes,,Swindon,SN6 6NZ,Open,,,Maintained school,Voluntary controlled school,1,0,0,4,11,Mixed,Church of England,Not applicable,Primary
126303,Wiltshire,865,3015,8653015,Christ Church Church of England Controlled Primary School,Berryfield Road,,Christ Church Ce Vc Primary School,Bradford-on-Avon,BA15 1ST,Open,,,Maintained school,Voluntary controlled school,1,0,0,4,11,Mixed,Church of England,Not applicable,Primary
126305,Wiltshire,865,3018,8653018,Broad Hinton Church of England Primary School,Broad Hinton,,,Swindon,SN4 9PQ,Open,,,Maintained school,Voluntary controlled school,1,0,0,4,11,Mixed,Church of England,Not applicable,Primary
126306,Wiltshire,865,3019,8653019,Broad Town Church of England Primary School,Broad Town,Wootton Bassett,,Swindon,SN4 7RE,Open,,,Maintained school,Voluntary controlled school,1,0,0,4,11,Mixed,Church of England,Not applicable,Primary
126313,Wiltshire,865,3035,8653035,Cherhill CofE School,Middle Lane,Cherhill,,Calne,SN11 8XX,Open,,,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Church of England,Non-selective,Primary
126316,Wiltshire,865,3040,8653040,Colerne CofE Primary School,Quarry Lane,Colerne,,Chippenham,SN14 8DU,Open,,,Maintained school,Voluntary controlled school,1,0,0,4,11,Mixed,Church of England,Not applicable,Primary
126317,Wiltshire,865,3045,8653045,St Sampson's Church of England Primary School,Bath Road,Cricklade,,Swindon,SN6 6AX,Open,,,Maintained school,Voluntary controlled school,1,0,0,4,11,Mixed,Church of England,Not applicable,Primary
126318,Wiltshire,865,3047,8653047,Crockerton CofE Primary School,Potters Hill,Crockerton,,Warminster,BA12 8AB,Open,,,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Church of England,Not applicable,Primary
